"Support","Confidence","Accuracy_train","Accuracy_test","NumberOfRules"
0.01,0.01,0.838571428571429,0.69,29696
0.01,0.02,0.838571428571429,0.69,29696
0.01,0.03,0.838571428571429,0.69,29696
0.01,0.04,0.838571428571429,0.69,29696
0.01,0.05,0.838571428571429,0.69,29696
0.01,0.06,0.838571428571429,0.69,29696
0.01,0.07,0.838571428571429,0.69,29696
0.01,0.08,0.838571428571429,0.69,29696
0.01,0.09,0.838571428571429,0.69,29696
0.01,0.1,0.838571428571429,0.69,29696
0.02,0.01,0.791428571428571,0.68,13730
0.02,0.02,0.791428571428571,0.68,13730
0.02,0.03,0.791428571428571,0.68,13730
0.02,0.04,0.791428571428571,0.68,13730
0.02,0.05,0.791428571428571,0.68,13730
0.02,0.06,0.791428571428571,0.68,13730
0.02,0.07,0.791428571428571,0.68,13730
0.02,0.08,0.791428571428571,0.68,13730
0.02,0.09,0.791428571428571,0.68,13730
0.02,0.1,0.791428571428571,0.68,13730
0.03,0.01,0.778571428571429,0.683333333333333,8174
0.03,0.02,0.778571428571429,0.683333333333333,8174
0.03,0.03,0.778571428571429,0.683333333333333,8174
0.03,0.04,0.778571428571429,0.683333333333333,8174
0.03,0.05,0.778571428571429,0.683333333333333,8174
0.03,0.06,0.778571428571429,0.683333333333333,8174
0.03,0.07,0.778571428571429,0.683333333333333,8174
0.03,0.08,0.778571428571429,0.683333333333333,8174
0.03,0.09,0.778571428571429,0.683333333333333,8174
0.03,0.1,0.778571428571429,0.683333333333333,8174
0.04,0.01,0.755714285714286,0.676666666666667,5389
0.04,0.02,0.755714285714286,0.676666666666667,5389
0.04,0.03,0.755714285714286,0.676666666666667,5389
0.04,0.04,0.755714285714286,0.676666666666667,5389
0.04,0.05,0.755714285714286,0.676666666666667,5389
0.04,0.06,0.755714285714286,0.676666666666667,5389
0.04,0.07,0.755714285714286,0.676666666666667,5389
0.04,0.08,0.755714285714286,0.676666666666667,5389
0.04,0.09,0.755714285714286,0.676666666666667,5389
0.04,0.1,0.755714285714286,0.676666666666667,5389
0.05,0.01,0.74,0.686666666666667,3882
0.05,0.02,0.74,0.686666666666667,3882
0.05,0.03,0.74,0.686666666666667,3882
0.05,0.04,0.74,0.686666666666667,3882
0.05,0.05,0.742857142857143,0.686666666666667,3882
0.05,0.06,0.74,0.686666666666667,3882
0.05,0.07,0.74,0.686666666666667,3882
0.05,0.08,0.74,0.686666666666667,3882
0.05,0.09,0.74,0.686666666666667,3882
0.05,0.1,0.74,0.686666666666667,3882
0.06,0.01,0.745714285714286,0.686666666666667,2915
0.06,0.02,0.745714285714286,0.686666666666667,2915
0.06,0.03,0.745714285714286,0.686666666666667,2915
0.06,0.04,0.745714285714286,0.686666666666667,2915
0.06,0.05,0.745714285714286,0.686666666666667,2915
0.06,0.06,0.745714285714286,0.686666666666667,2915
0.06,0.07,0.745714285714286,0.686666666666667,2915
0.06,0.08,0.745714285714286,0.686666666666667,2915
0.06,0.09,0.745714285714286,0.686666666666667,2915
0.06,0.1,0.745714285714286,0.686666666666667,2915
0.07,0.01,0.731428571428571,0.686666666666667,2249
0.07,0.02,0.731428571428571,0.686666666666667,2249
0.07,0.03,0.728571428571429,0.686666666666667,2249
0.07,0.04,0.731428571428571,0.686666666666667,2249
0.07,0.05,0.728571428571429,0.686666666666667,2249
0.07,0.06,0.731428571428571,0.686666666666667,2249
0.07,0.07,0.731428571428571,0.686666666666667,2249
0.07,0.08,0.728571428571429,0.686666666666667,2249
0.07,0.09,0.731428571428571,0.686666666666667,2249
0.07,0.1,0.728571428571429,0.686666666666667,2249
0.08,0.01,0.721428571428571,0.686666666666667,1810
0.08,0.02,0.721428571428571,0.686666666666667,1810
0.08,0.03,0.728571428571429,0.686666666666667,1810
0.08,0.04,0.728571428571429,0.686666666666667,1810
0.08,0.05,0.721428571428571,0.686666666666667,1810
0.08,0.06,0.721428571428571,0.686666666666667,1810
0.08,0.07,0.721428571428571,0.686666666666667,1810
0.08,0.08,0.721428571428571,0.686666666666667,1810
0.08,0.09,0.721428571428571,0.686666666666667,1810
0.08,0.1,0.721428571428571,0.686666666666667,1810
0.09,0.01,0.725714285714286,0.69,1471
0.09,0.02,0.722857142857143,0.69,1471
0.09,0.03,0.722857142857143,0.69,1471
0.09,0.04,0.722857142857143,0.69,1471
0.09,0.05,0.722857142857143,0.69,1471
0.09,0.06,0.722857142857143,0.69,1471
0.09,0.07,0.725714285714286,0.69,1471
0.09,0.08,0.725714285714286,0.69,1471
0.09,0.09,0.722857142857143,0.69,1471
0.09,0.1,0.721428571428571,0.69,1471
0.1,0.01,0.707142857142857,0.68,1203
0.1,0.02,0.707142857142857,0.68,1203
0.1,0.03,0.707142857142857,0.68,1203
0.1,0.04,0.707142857142857,0.68,1203
0.1,0.05,0.707142857142857,0.68,1203
0.1,0.06,0.707142857142857,0.68,1203
0.1,0.07,0.707142857142857,0.68,1203
0.1,0.08,0.707142857142857,0.68,1203
0.1,0.09,0.707142857142857,0.68,1203
0.1,0.1,0.707142857142857,0.68,1203
