"Support","Confidence","Accuracy_train","Accuracy_test","NumberOfRules"
0.01,0.01,0.815714285714286,0.683333333333333,26080
0.01,0.02,0.817142857142857,0.683333333333333,26080
0.01,0.03,0.815714285714286,0.683333333333333,26080
0.01,0.04,0.815714285714286,0.683333333333333,26080
0.01,0.05,0.815714285714286,0.683333333333333,26080
0.01,0.06,0.815714285714286,0.683333333333333,26080
0.01,0.07,0.815714285714286,0.683333333333333,26080
0.01,0.08,0.817142857142857,0.683333333333333,26080
0.01,0.09,0.815714285714286,0.683333333333333,26080
0.01,0.1,0.815714285714286,0.683333333333333,26080
0.02,0.01,0.771428571428571,0.67,11788
0.02,0.02,0.771428571428571,0.67,11788
0.02,0.03,0.771428571428571,0.67,11788
0.02,0.04,0.771428571428571,0.67,11788
0.02,0.05,0.771428571428571,0.67,11788
0.02,0.06,0.771428571428571,0.67,11788
0.02,0.07,0.771428571428571,0.67,11788
0.02,0.08,0.775714285714286,0.67,11788
0.02,0.09,0.771428571428571,0.67,11788
0.02,0.1,0.771428571428571,0.67,11788
0.03,0.01,0.748571428571429,0.673333333333333,7104
0.03,0.02,0.748571428571429,0.673333333333333,7104
0.03,0.03,0.748571428571429,0.673333333333333,7104
0.03,0.04,0.748571428571429,0.673333333333333,7104
0.03,0.05,0.748571428571429,0.673333333333333,7104
0.03,0.06,0.748571428571429,0.673333333333333,7104
0.03,0.07,0.748571428571429,0.673333333333333,7104
0.03,0.08,0.748571428571429,0.673333333333333,7104
0.03,0.09,0.748571428571429,0.673333333333333,7104
0.03,0.1,0.748571428571429,0.673333333333333,7104
0.04,0.01,0.744285714285714,0.676666666666667,4804
0.04,0.02,0.744285714285714,0.676666666666667,4804
0.04,0.03,0.744285714285714,0.676666666666667,4804
0.04,0.04,0.744285714285714,0.676666666666667,4804
0.04,0.05,0.744285714285714,0.676666666666667,4804
0.04,0.06,0.744285714285714,0.676666666666667,4804
0.04,0.07,0.744285714285714,0.676666666666667,4804
0.04,0.08,0.744285714285714,0.676666666666667,4804
0.04,0.09,0.744285714285714,0.676666666666667,4804
0.04,0.1,0.745714285714286,0.676666666666667,4804
0.05,0.01,0.727142857142857,0.676666666666667,3521
0.05,0.02,0.727142857142857,0.676666666666667,3521
0.05,0.03,0.727142857142857,0.676666666666667,3521
0.05,0.04,0.727142857142857,0.676666666666667,3521
0.05,0.05,0.728571428571429,0.676666666666667,3521
0.05,0.06,0.727142857142857,0.676666666666667,3521
0.05,0.07,0.727142857142857,0.676666666666667,3521
0.05,0.08,0.727142857142857,0.676666666666667,3521
0.05,0.09,0.727142857142857,0.676666666666667,3521
0.05,0.1,0.727142857142857,0.676666666666667,3521
0.06,0.01,0.718571428571429,0.653333333333333,2673
0.06,0.02,0.718571428571429,0.653333333333333,2673
0.06,0.03,0.718571428571429,0.653333333333333,2673
0.06,0.04,0.718571428571429,0.653333333333333,2673
0.06,0.05,0.718571428571429,0.653333333333333,2673
0.06,0.06,0.718571428571429,0.653333333333333,2673
0.06,0.07,0.718571428571429,0.653333333333333,2673
0.06,0.08,0.718571428571429,0.653333333333333,2673
0.06,0.09,0.718571428571429,0.653333333333333,2673
0.06,0.1,0.718571428571429,0.653333333333333,2673
0.07,0.01,0.711428571428571,0.656666666666667,2100
0.07,0.02,0.711428571428571,0.656666666666667,2100
0.07,0.03,0.711428571428571,0.656666666666667,2100
0.07,0.04,0.711428571428571,0.656666666666667,2100
0.07,0.05,0.711428571428571,0.656666666666667,2100
0.07,0.06,0.711428571428571,0.656666666666667,2100
0.07,0.07,0.711428571428571,0.656666666666667,2100
0.07,0.08,0.712857142857143,0.656666666666667,2100
0.07,0.09,0.711428571428571,0.656666666666667,2100
0.07,0.1,0.711428571428571,0.656666666666667,2100
0.08,0.01,0.715714285714286,0.666666666666667,1720
0.08,0.02,0.715714285714286,0.666666666666667,1720
0.08,0.03,0.715714285714286,0.666666666666667,1720
0.08,0.04,0.715714285714286,0.666666666666667,1720
0.08,0.05,0.715714285714286,0.666666666666667,1720
0.08,0.06,0.715714285714286,0.666666666666667,1720
0.08,0.07,0.715714285714286,0.666666666666667,1720
0.08,0.08,0.715714285714286,0.666666666666667,1720
0.08,0.09,0.715714285714286,0.666666666666667,1720
0.08,0.1,0.715714285714286,0.666666666666667,1720
0.09,0.01,0.722857142857143,0.676666666666667,1418
0.09,0.02,0.717142857142857,0.676666666666667,1418
0.09,0.03,0.717142857142857,0.676666666666667,1418
0.09,0.04,0.715714285714286,0.676666666666667,1418
0.09,0.05,0.717142857142857,0.676666666666667,1418
0.09,0.06,0.717142857142857,0.676666666666667,1418
0.09,0.07,0.717142857142857,0.676666666666667,1418
0.09,0.08,0.717142857142857,0.676666666666667,1418
0.09,0.09,0.722857142857143,0.676666666666667,1418
0.09,0.1,0.717142857142857,0.676666666666667,1418
0.1,0.01,0.707142857142857,0.67,1183
0.1,0.02,0.707142857142857,0.67,1183
0.1,0.03,0.708571428571429,0.67,1183
0.1,0.04,0.707142857142857,0.67,1183
0.1,0.05,0.711428571428571,0.67,1183
0.1,0.06,0.707142857142857,0.67,1183
0.1,0.07,0.707142857142857,0.67,1183
0.1,0.08,0.707142857142857,0.67,1183
0.1,0.09,0.707142857142857,0.67,1183
0.1,0.1,0.707142857142857,0.67,1183
