"Class","Status.of.existing.checking.account","Duration.in.month","Credit.history","Purpose","Credit.amount","Savings.account.bonds","Present.employment.since","Installment.rate.in.percentage.of.disposable.income","Other.debtors...guarantors","Present.residence.since","Property","Age.in.years","Other.installment.plans","Housing","Number.of.existing.credits.at.this.bank","Job","Number.of.people.being.liable.to.provide.maintenance.for","Telephone","Foreign.worker","Gender","Marital.Status","Weights"
"1","2","6","2","8","1169","5","4","4","3","4","3","67","2","2","2","2","1","2","2","2","4","1"
"2","1","48","4","8","5951","3","1","2","3","2","3","22","2","2","1","2","1","1","2","1","2","1"
"1","4","12","2","5","2096","3","2","2","3","3","3","49","2","2","1","4","2","1","2","2","4","1"
"1","2","42","4","6","7882","3","2","2","2","4","1","45","2","1","1","2","2","1","2","2","4","1"
"2","2","24","3","2","4870","3","1","3","3","4","4","53","2","1","2","2","2","1","2","2","4","1"
"1","4","36","4","5","9055","5","1","2","3","4","4","35","2","1","1","4","2","2","2","2","4","1"
"1","4","24","4","6","2835","2","4","3","3","4","1","53","2","2","1","2","1","1","2","2","4","1"
"1","1","36","4","3","6948","3","1","2","3","2","2","35","2","3","1","1","1","2","2","2","4","1"
"1","4","12","4","8","3059","4","2","2","3","4","3","61","2","2","1","4","1","1","2","2","1","1"
"2","1","30","2","2","5234","3","5","4","3","2","2","28","2","2","2","1","1","1","2","2","3","1"
"2","1","12","4","2","1295","3","3","3","3","1","2","25","2","3","1","2","1","1","2","1","2","1"
"2","2","48","4","1","4308","3","3","3","3","4","1","24","2","3","1","2","1","1","2","1","2","1"
"1","1","12","4","8","1567","3","1","1","3","1","2","22","2","2","1","2","1","2","2","1","2","1"
"2","2","24","2","2","1199","3","4","4","3","4","2","60","2","2","2","4","1","1","2","2","4","1"
"1","2","15","4","2","1403","3","1","2","3","4","2","28","2","3","1","2","1","1","2","1","2","1"
"2","2","24","4","8","1282","1","1","4","3","2","2","32","2","2","1","4","1","1","2","1","2","0.872727272727273"
"1","4","24","2","8","2424","5","4","4","3","4","1","53","2","2","2","2","1","1","2","2","4","1"
"1","2","30","5","1","8072","5","3","2","3","3","2","25","1","2","3","2","1","1","2","2","4","1"
"2","1","24","4","3","12579","3","4","4","3","2","4","44","2","1","1","1","1","2","2","1","2","1"
"1","4","24","4","8","3430","2","4","3","3","2","2","31","2","2","1","2","2","2","2","2","4","1"
"1","4","9","2","2","2134","3","1","4","3","4","2","48","2","2","3","2","1","2","2","2","4","1"
"1","2","6","4","8","2647","2","1","2","3","3","3","44","2","3","1","2","2","1","2","2","4","1"
"1","2","10","2","2","2241","3","3","1","3","3","3","48","2","3","2","4","2","1","1","2","4","1"
"1","1","12","2","3","1804","1","3","3","3","4","1","44","2","2","1","2","1","1","2","2","4","1"
"1","4","10","2","6","2069","5","1","2","3","1","2","26","2","2","2","2","1","1","1","2","3","0.933333333333333"
"1","2","6","4","6","1374","3","1","1","3","2","3","36","1","2","1","4","1","2","2","2","4","1"
"1","4","6","5","8","426","3","4","4","3","4","2","39","2","2","1","4","1","1","2","2","3","1"
"1","3","12","1","8","409","4","1","3","3","3","3","42","2","3","2","2","1","1","2","1","2","1"
"1","1","7","4","8","2415","3","1","3","2","2","3","34","2","2","1","2","1","1","2","2","4","1"
"2","2","60","3","1","6836","3","4","3","3","4","4","63","2","2","2","2","1","2","2","2","4","1"
"1","1","18","4","1","1913","4","3","3","3","3","3","36","1","2","1","2","1","2","2","2","3","1"
"1","2","24","4","6","4020","3","1","2","3","2","2","27","3","2","1","2","1","1","2","2","4","1"
"1","1","18","4","2","5866","1","1","2","3","2","2","30","2","2","2","2","1","2","2","2","4","1"
"1","4","12","2","1","1264","5","4","4","3","4","4","57","2","3","1","4","1","1","2","2","4","1"
"1","3","12","4","6","1474","3","3","4","3","1","1","33","1","2","1","1","1","2","2","1","2","1"
"2","1","45","2","8","4746","3","3","4","3","2","1","25","2","2","2","4","1","1","2","2","4","1"
"1","4","48","2","5","6110","3","1","1","3","3","4","31","1","1","1","2","1","2","2","2","4","1"
"2","3","18","4","8","2100","3","1","4","1","2","3","37","3","2","1","2","1","1","2","2","4","1"
"1","3","10","4","4","1225","3","1","2","3","2","2","37","2","2","1","2","1","2","2","2","4","1"
"1","1","9","4","8","458","3","1","4","3","3","3","24","2","2","1","2","1","1","2","2","4","1"
"1","4","30","4","8","2333","2","4","4","3","2","2","30","1","2","1","1","1","1","2","2","4","1"
"1","1","12","4","8","1158","2","1","3","3","1","2","26","2","2","1","2","1","2","2","2","1","1"
"1","1","18","3","9","6204","3","1","2","3","4","3","44","2","2","1","4","2","2","2","2","4","1"
"1","2","30","2","3","6187","1","2","1","3","4","2","24","2","3","2","2","1","1","2","2","3","1"
"2","2","48","2","3","6143","3","4","4","3","4","4","58","3","1","2","4","1","1","2","1","2","0.872727272727273"
"1","4","11","2","2","1393","3","3","4","3","4","2","35","2","2","2","1","1","1","2","1","2","1"
"1","4","36","4","8","2299","2","4","4","3","4","2","39","2","2","1","2","1","1","2","2","4","1"
"1","2","6","4","3","1352","2","5","1","3","2","1","23","2","3","1","3","1","2","2","1","2","1"
"1","4","11","2","2","7228","3","1","1","3","4","1","39","2","2","2","4","1","1","2","2","4","1"
"1","4","12","4","8","2073","1","1","4","1","2","3","28","2","2","1","2","1","1","2","1","2","1"
"1","1","24","3","6","2333","5","3","4","3","2","1","29","1","2","1","4","1","1","2","2","4","1"
"1","1","27","3","3","5965","3","4","1","3","2","2","30","2","2","2","1","1","2","2","2","4","1"
"1","4","12","4","8","1262","3","1","3","3","2","2","25","2","2","1","2","1","1","2","2","4","1"
"1","4","18","4","3","3378","5","1","2","3","1","1","31","2","2","1","2","1","2","2","2","4","1"
"2","1","36","3","2","2225","3","4","4","3","4","4","57","1","1","2","2","1","2","2","2","4","1"
